Age,Gender,High_School_GPA,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Starting_Salary,Current_Job_Level
24.0,1,3.58,291.0,3.96,0,3.0,7.0,2.0,9.0,27200.0,0
21.0,2,2.52,112.0,3.63,4,4.0,7.0,3.0,8.0,25000.0,2
28.0,0,3.42,715.0,2.63,6,4.0,8.0,1.0,1.0,42400.0,0
25.0,1,2.43,170.0,2.81,2,3.0,9.0,3.0,10.0,57400.0,2
22.0,1,2.08,599.0,2.48,3,4.0,6.0,4.0,10.0,47600.0,0
24.0,1,2.4,631.0,3.78,4,2.0,3.0,3.0,2.0,68400.0,0
27.0,1,2.36,610.0,3.83,2,0.0,1.0,3.0,3.0,55500.0,2
20.0,1,2.68,240.0,2.84,0,1.0,5.0,5.0,5.0,38000.0,0
24.0,1,2.84,502.0,3.31,1,2.0,3.0,0.0,5.0,68900.0,0
28.0,1,3.02,138.0,2.33,2,1.0,5.0,3.0,10.0,58900.0,3
28.0,0,2.95,594.0,2.87,5,2.0,7.0,5.0,8.0,26300.0,0
25.0,0,2.54,236.0,3.26,4,2.0,2.0,3.0,2.0,35100.0,2
22.0,0,2.06,648.0,2.77,3,2.0,0.0,5.0,2.0,42600.0,3
21.0,1,3.21,794.0,2.72,0,0.0,4.0,3.0,8.0,76500.0,0
25.0,1,2.79,3.0,2.0,1,1.0,2.0,3.0,1.0,61100.0,0
25.0,0,2.6,571.0,3.61,2,3.0,5.0,2.0,9.0,34500.0,3
20.0,0,3.73,116.0,3.78,4,3.0,2.0,3.0,2.0,97500.0,2
23.0,1,3.49,472.0,3.94,5,4.0,0.0,5.0,5.0,61800.0,3
22.0,0,3.72,131.0,3.44,5,0.0,8.0,5.0,3.0,32200.0,0
19.0,0,2.99,934.0,3.1,5,0.0,4.0,1.0,5.0,45500.0,3
25.0,0,2.26,898.0,2.54,6,0.0,1.0,5.0,8.0,42200.0,0
29.0,1,3.39,483.0,4.0,1,2.0,1.0,1.0,8.0,37400.0,3
23.0,0,2.41,401.0,3.18,3,0.0,8.0,5.0,6.0,69500.0,3
19.0,0,2.88,201.0,3.36,0,3.0,0.0,3.0,9.0,48100.0,2
29.0,0,2.13,292.0,3.36,3,0.0,9.0,5.0,7.0,63900.0,2
22.0,0,3.65,342.0,3.69,6,2.0,2.0,1.0,2.0,48100.0,0
18.0,0,2.25,991.0,2.02,0,1.0,9.0,2.0,1.0,44600.0,0
29.0,1,3.81,610.0,2.44,3,0.0,6.0,0.0,8.0,41000.0,0
27.0,1,3.73,216.0,3.33,6,1.0,0.0,3.0,1.0,50300.0,2
23.0,0,2.93,636.0,3.79,5,4.0,1.0,5.0,8.0,38300.0,1
29.0,0,3.49,585.0,3.37,3,2.0,5.0,1.0,9.0,49500.0,3
26.0,0,3.24,366.0,2.83,1,0.0,8.0,1.0,1.0,41500.0,0
18.0,1,3.61,890.0,2.72,3,4.0,8.0,2.0,7.0,29800.0,2
28.0,1,2.86,642.0,3.48,4,4.0,7.0,5.0,5.0,44600.0,0
28.0,0,3.57,469.0,3.48,3,1.0,2.0,2.0,8.0,25000.0,0
27.0,0,2.92,418.0,3.21,6,3.0,1.0,0.0,4.0,70300.0,0
29.0,0,3.88,27.0,2.58,3,3.0,0.0,5.0,2.0,57500.0,1
29.0,0,2.97,677.0,3.85,0,3.0,8.0,4.0,7.0,43000.0,0
20.0,0,2.93,455.0,3.1,2,3.0,4.0,4.0,7.0,25000.0,0
29.0,0,3.57,918.0,3.58,1,2.0,2.0,5.0,8.0,50200.0,0
24.0,0,3.64,580.0,2.43,4,0.0,9.0,4.0,9.0,53400.0,2
21.0,0,3.11,14.0,2.69,5,0.0,9.0,0.0,6.0,56300.0,0
26.0,0,2.36,98.0,3.75,6,2.0,4.0,3.0,3.0,38400.0,3
20.0,1,2.94,279.0,2.1,5,1.0,2.0,4.0,5.0,53200.0,0
22.0,1,3.94,940.0,3.02,5,0.0,8.0,4.0,3.0,78700.0,0
20.0,0,3.51,490.0,2.96,3,4.0,0.0,5.0,10.0,42200.0,2
24.0,1,3.62,985.0,3.5,3,0.0,0.0,1.0,9.0,65500.0,0
22.0,1,2.07,961.0,2.56,3,2.0,2.0,1.0,5.0,49800.0,2
26.0,1,2.94,883.0,2.44,1,1.0,5.0,3.0,7.0,47900.0,2
24.0,1,3.29,759.0,3.85,4,0.0,1.0,5.0,10.0,52000.0,2
19.0,1,3.66,624.0,3.14,2,2.0,0.0,2.0,7.0,42000.0,3
21.0,1,2.1,207.0,2.21,0,4.0,7.0,0.0,7.0,52100.0,3
26.0,0,3.7,864.0,2.39,4,3.0,9.0,4.0,10.0,64500.0,2
29.0,0,3.1,846.0,4.0,0,4.0,8.0,5.0,4.0,63500.0,1
19.0,1,2.39,233.0,2.39,0,4.0,9.0,5.0,4.0,67200.0,0
27.0,1,2.63,573.0,3.22,4,1.0,0.0,0.0,3.0,40600.0,3
26.0,0,2.56,597.0,2.84,6,0.0,2.0,1.0,4.0,50900.0,0
27.0,1,3.06,695.0,3.77,2,3.0,4.0,0.0,9.0,82700.0,0
22.0,0,2.1,239.0,3.51,2,2.0,6.0,1.0,5.0,35400.0,3
19.0,0,2.32,250.0,3.19,1,3.0,9.0,0.0,6.0,48300.0,0
21.0,0,3.63,583.0,2.02,4,0.0,3.0,1.0,4.0,31800.0,0
29.0,1,2.27,740.0,3.76,3,1.0,5.0,0.0,1.0,51600.0,0
29.0,0,2.47,597.0,2.89,2,0.0,0.0,4.0,7.0,65600.0,0
24.0,1,2.91,306.0,3.86,4,2.0,3.0,4.0,7.0,75700.0,0
29.0,0,3.03,1000.0,2.99,3,3.0,7.0,3.0,6.0,35000.0,0
25.0,0,3.53,908.0,3.39,1,4.0,4.0,0.0,4.0,37600.0,2
20.0,1,2.89,463.0,2.14,5,0.0,7.0,2.0,10.0,73700.0,2
18.0,1,3.58,783.0,3.49,5,1.0,0.0,3.0,8.0,25000.0,2
21.0,1,3.24,913.0,2.68,4,1.0,9.0,0.0,8.0,40400.0,0
19.0,0,2.23,802.0,2.7,4,3.0,8.0,2.0,1.0,64600.0,3
25.0,1,2.31,236.0,2.24,6,4.0,3.0,4.0,9.0,25000.0,0
21.0,0,2.87,291.0,2.29,4,2.0,8.0,4.0,8.0,34300.0,0
19.0,1,2.79,39.0,2.37,6,4.0,7.0,5.0,2.0,68900.0,3
23.0,0,3.49,998.0,2.66,3,3.0,7.0,4.0,9.0,25000.0,2
23.0,0,3.16,718.0,3.78,5,4.0,1.0,5.0,4.0,25000.0,1
27.0,0,2.78,183.0,2.74,3,3.0,2.0,2.0,10.0,62600.0,0
21.0,0,2.34,699.0,3.45,5,4.0,9.0,1.0,6.0,74400.0,2
23.0,1,2.45,645.0,2.17,5,0.0,8.0,0.0,2.0,71500.0,0
19.0,1,3.15,30.0,3.18,2,1.0,2.0,3.0,10.0,25000.0,3
27.0,0,2.85,388.0,2.96,1,3.0,7.0,5.0,4.0,71900.0,0
29.0,1,3.03,767.0,3.96,6,3.0,4.0,3.0,2.0,51200.0,0
19.0,1,2.34,143.0,3.69,5,1.0,6.0,4.0,9.0,37900.0,0
27.0,1,3.33,615.0,2.91,2,2.0,3.0,1.0,9.0,36000.0,2
21.0,1,3.71,419.0,3.55,0,3.0,7.0,5.0,5.0,60500.0,0
25.0,1,2.52,74.0,2.39,2,0.0,3.0,0.0,3.0,56600.0,1
24.0,0,2.98,55.0,3.12,3,4.0,4.0,5.0,3.0,71100.0,3
29.0,1,3.95,962.0,2.15,0,0.0,0.0,0.0,1.0,40600.0,3
26.0,0,2.67,748.0,2.7,2,3.0,9.0,3.0,8.0,42700.0,3
25.0,1,3.19,572.0,2.45,4,2.0,7.0,3.0,3.0,62100.0,3
22.0,0,2.18,24.0,3.44,1,3.0,6.0,3.0,4.0,38100.0,3
19.0,1,3.21,988.0,2.98,6,2.0,4.0,0.0,2.0,62300.0,3
22.0,0,2.18,22.0,3.5,4,1.0,5.0,5.0,8.0,33300.0,3
25.0,0,3.92,428.0,3.03,0,4.0,0.0,3.0,3.0,80600.0,0
27.0,1,3.43,32.0,2.17,5,0.0,7.0,0.0,2.0,79900.0,0
26.0,0,3.58,863.0,3.47,1,2.0,8.0,4.0,1.0,39000.0,2
29.0,2,3.41,339.0,3.67,5,0.0,4.0,5.0,10.0,50900.0,0
29.0,0,3.18,947.0,3.81,2,1.0,9.0,5.0,2.0,51800.0,0
29.0,0,2.9,981.0,3.14,4,3.0,6.0,5.0,2.0,48000.0,2
26.0,1,3.72,515.0,3.51,3,2.0,9.0,1.0,4.0,35000.0,2
18.0,0,3.91,512.0,3.5,3,4.0,3.0,3.0,1.0,51600.0,2
26.0,1,3.0,70.0,2.31,1,2.0,5.0,0.0,1.0,27800.0,1
24.0,1,3.86,672.0,2.33,3,3.0,1.0,4.0,6.0,73000.0,2
26.0,2,3.17,898.0,2.14,6,3.0,3.0,2.0,5.0,74000.0,0
25.0,1,3.08,88.0,2.64,5,4.0,4.0,4.0,1.0,70200.0,0
18.0,0,2.91,877.0,2.95,1,4.0,8.0,1.0,6.0,71300.0,0
29.0,0,2.42,571.0,4.0,1,1.0,8.0,4.0,8.0,61100.0,0
25.0,0,2.01,764.0,2.86,3,0.0,7.0,3.0,5.0,36400.0,0
25.0,2,2.48,219.0,3.45,1,2.0,3.0,3.0,3.0,30300.0,0
28.0,1,3.02,713.0,3.39,2,1.0,5.0,2.0,3.0,33900.0,3
20.0,1,2.76,589.0,2.41,0,0.0,6.0,5.0,2.0,56800.0,2
18.0,1,2.9,767.0,2.12,4,1.0,0.0,0.0,9.0,29900.0,2
25.0,1,3.96,759.0,3.09,0,4.0,0.0,4.0,9.0,52600.0,3
20.0,1,2.7,270.0,3.4,5,4.0,3.0,2.0,7.0,58300.0,0
20.0,1,2.9,819.0,4.0,4,3.0,2.0,3.0,1.0,47200.0,2
18.0,0,2.27,651.0,2.72,3,2.0,9.0,5.0,1.0,50600.0,0
28.0,0,2.1,78.0,3.79,6,2.0,3.0,0.0,4.0,89100.0,3
22.0,1,3.55,592.0,2.76,6,2.0,8.0,0.0,2.0,49500.0,0
27.0,0,3.14,10.0,3.38,3,1.0,1.0,1.0,3.0,56100.0,0
24.0,1,3.52,468.0,3.2,5,1.0,3.0,5.0,2.0,67600.0,0
27.0,1,2.3,336.0,2.11,3,2.0,6.0,3.0,1.0,63600.0,3
26.0,0,3.14,636.0,2.16,1,3.0,1.0,0.0,3.0,62500.0,0
29.0,0,2.51,186.0,2.04,6,0.0,7.0,1.0,7.0,54100.0,3
24.0,0,2.46,546.0,2.74,0,1.0,9.0,1.0,10.0,54200.0,0
26.0,1,2.02,121.0,3.49,3,2.0,3.0,3.0,9.0,25000.0,0
25.0,0,2.26,592.0,2.35,5,4.0,8.0,0.0,10.0,76000.0,0
29.0,0,2.62,718.0,3.21,5,1.0,0.0,5.0,9.0,41100.0,0
19.0,0,2.23,565.0,2.58,0,0.0,6.0,0.0,8.0,63200.0,2
18.0,0,3.97,668.0,3.59,4,1.0,0.0,4.0,6.0,46500.0,2
24.0,0,2.62,274.0,3.6,0,0.0,9.0,0.0,1.0,96700.0,0
24.0,0,2.26,410.0,3.55,5,0.0,8.0,1.0,8.0,37600.0,0
25.0,0,2.4,358.0,3.05,6,1.0,9.0,2.0,8.0,85500.0,0
22.0,2,3.18,647.0,2.57,4,0.0,9.0,3.0,9.0,48100.0,0
20.0,0,2.13,941.0,3.62,0,1.0,0.0,2.0,10.0,61000.0,0
29.0,1,3.72,98.0,2.37,1,1.0,2.0,0.0,6.0,50300.0,2
25.0,0,3.92,241.0,2.58,1,3.0,6.0,5.0,3.0,73800.0,0
23.0,1,2.49,557.0,2.37,6,4.0,0.0,5.0,6.0,52000.0,2
28.0,1,2.9,711.0,3.35,1,0.0,4.0,1.0,8.0,54800.0,2
20.0,0,2.04,993.0,3.37,3,1.0,5.0,2.0,7.0,51500.0,0
18.0,0,3.28,803.0,3.31,4,0.0,2.0,3.0,8.0,58500.0,0
20.0,0,2.83,948.0,2.83,6,1.0,5.0,4.0,3.0,36100.0,3
22.0,1,2.54,114.0,2.2,4,1.0,3.0,2.0,8.0,25000.0,0
20.0,0,2.41,487.0,3.82,5,1.0,5.0,5.0,5.0,56900.0,3
18.0,1,3.31,789.0,3.02,0,4.0,5.0,4.0,7.0,82000.0,2
22.0,2,2.83,241.0,2.81,3,0.0,3.0,5.0,4.0,43800.0,2
27.0,2,2.36,156.0,3.18,6,4.0,0.0,0.0,3.0,61500.0,2
24.0,0,3.38,352.0,2.39,0,4.0,2.0,0.0,6.0,27800.0,0
24.0,0,3.13,44.0,2.27,0,4.0,9.0,3.0,9.0,41700.0,0
28.0,0,3.72,592.0,2.81,0,4.0,6.0,4.0,4.0,50700.0,3
26.0,0,2.23,312.0,2.45,0,3.0,1.0,4.0,9.0,49600.0,2
27.0,1,3.57,138.0,2.49,0,0.0,3.0,3.0,3.0,66800.0,2
27.0,1,3.35,663.0,3.79,6,0.0,5.0,5.0,6.0,25000.0,0
29.0,0,2.23,944.0,3.06,1,1.0,4.0,2.0,5.0,47500.0,0
20.0,0,3.39,436.0,2.97,0,0.0,5.0,3.0,9.0,40600.0,3
24.0,1,2.88,754.0,3.38,5,4.0,4.0,0.0,6.0,36300.0,0
18.0,0,3.89,143.0,3.9,5,2.0,8.0,4.0,2.0,39000.0,3
21.0,1,2.28,823.0,2.22,3,0.0,1.0,1.0,4.0,54100.0,0
21.0,0,3.29,299.0,3.67,6,2.0,3.0,5.0,5.0,52200.0,2
22.0,0,2.76,562.0,3.17,2,3.0,0.0,1.0,9.0,47100.0,0
24.0,0,3.91,262.0,2.29,1,1.0,6.0,0.0,1.0,29700.0,2
24.0,0,2.66,512.0,2.59,3,1.0,0.0,4.0,9.0,46000.0,0
28.0,1,3.92,673.0,2.96,5,1.0,5.0,4.0,10.0,66900.0,2
21.0,1,3.8,62.0,3.38,0,3.0,9.0,3.0,1.0,25400.0,3
24.0,0,2.54,567.0,2.49,6,4.0,9.0,2.0,1.0,39300.0,0
28.0,0,3.61,423.0,3.07,6,2.0,8.0,3.0,4.0,32800.0,0
20.0,1,3.99,396.0,3.37,0,0.0,1.0,1.0,6.0,33400.0,0
